fid	x	y
house_311	695435.9048547898	3877228.23196533
house_312	695444.3989507857	3877233.509306821
house_313	695452.8930467817	3877238.786648312
house_314	695461.3871427774	3877244.063989803
house_315	695469.8812387733	3877249.3413312943
house_316	695478.3753347693	3877254.6186727853
house_317	695486.8694307652	3877259.8960142764
house_318	695495.363526761	3877265.173355767
house_319	695503.8576227569	3877270.450697258
house_320	695512.3517187528	3877275.728038749
house_321	695520.8458147486	3877281.0053802403
house_322	695529.3399107445	3877286.2827217313
house_323	695537.8340067404	3877291.5600632224
house_324	695546.3281027363	3877296.8374047135
house_325	695554.822198732	3877302.1147462046
house_326	695563.316294728	3877307.3920876957
house_327	695571.8103907239	3877312.6694291863
house_328	695580.3044867198	3877317.9467706773
house_329	695588.7985827156	3877323.2241121684
house_330	695597.2926787115	3877328.5014536595
house_331	695605.7867747074	3877333.7787951506
house_332	695614.2808707033	3877339.0561366417
house_333	695622.7749666991	3877344.3334781327
house_334	695631.269062695	3877349.610819624
house_335	695639.7631586909	3877354.8881611144
house_336	695648.2572546868	3877360.1655026055
house_337	695656.7513506826	3877365.4428440966
house_338	695665.2454466785	3877370.7201855876
house_339	695673.7395426744	3877375.9975270787
house_340	696124.2217101797	3877396.325040225
house_341	696132.2565347551	3877390.3717559176
house_342	696140.2913593304	3877384.4184716106
house_343	696148.3261839058	3877378.4651873033
house_344	696156.3610084811	3877372.511902996
house_345	696164.3958330565	3877366.5586186885
house_346	696172.4306576318	3877360.6053343816
house_347	696180.4654822072	3877354.652050074
house_348	696188.5003067825	3877348.698765767
house_349	696196.535131358	3877342.7454814594
house_350	696204.5699559333	3877336.792197152
house_351	696212.6047805087	3877330.838912845
house_352	696220.639605084	3877324.8856285377
house_353	696228.6744296594	3877318.9323442304
house_354	696236.7092542347	3877312.979059923
house_355	696244.7440788101	3877307.025775616
house_356	696252.7789033855	3877301.0724913087
house_357	696260.8137279608	3877295.1192070013
house_358	696268.8485525362	3877289.165922694
house_359	696277.16917113	3877283.6312610186
house_360	696285.6397667426	3877278.3162812474
house_361	696294.1103623552	3877273.0013014763
house_362	696302.5809579678	3877267.686321705
house_363	696311.0515535803	3877262.3713419335
house_364	696319.522149193	3877257.0563621623
house_365	696327.9927448055	3877251.741382391
house_366	696336.4633404181	3877246.42640262
house_367	696344.9339360307	3877241.111422849
house_368	696353.4045316433	3877235.7964430777
house_369	696361.8751272558	3877230.4814633066
house_370	696370.3457228685	3877225.1664835354
house_371	703026.4411208681	3867367.4906012323
house_372	703031.3843157764	3867358.797798226
house_373	703036.3275106847	3867350.1049952204
house_374	703041.270705593	3867341.4121922147
house_375	703046.2139005013	3867332.7193892086
house_376	703051.1570954096	3867324.026586203
house_377	703056.1002903179	3867315.333783197
house_378	703061.0434852262	3867306.640980191
house_379	703065.9866801345	3867297.9481771854
house_380	703070.9298750429	3867289.2553741797
house_381	703075.8730699512	3867280.5625711735
house_382	703080.8162648594	3867271.869768168
house_383	703085.7594597677	3867263.176965162
house_384	703090.8652156673	3867254.585313184
house_385	703096.479941263	3867246.3103596205
house_386	703102.0946668586	3867238.0354060563
house_387	703107.7093924541	3867229.760452492
house_388	703120.4156048384	3867217.71846654
house_389	703130.3367865166	3867216.4654086367
house_390	703140.2855377609	3867215.464363301
house_391	703150.2429784519	3867214.5427479343
house_392	703160.200419143	3867213.621132567
house_393	703170.1578598339	3867212.6995172
house_394	703177.7862983525	3867207.706105682
house_395	703183.6288291623	3867199.5903904494
house_396	703189.4713599723	3867191.4746752167
house_397	703195.3138907821	3867183.3589599845
house_398	703201.156421592	3867175.243244752
house_399	703206.9989524018	3867167.127529519
house_400	703212.8414832117	3867159.0118142865
house_401	703210.0674509854	3867149.466942506
house_402	703207.1578617882	3867139.899587035
house_403	703204.4236029217	3867130.3002801295
house_404	703203.7712049206	3867120.32158398
house_405	703203.1188069194	3867110.3428878305
house_406	703199.1537332509	3867101.981612354
house_407	703192.8229842536	3867109.7225178005
house_408	703186.4922352564	3867117.463423247
house_409	703180.1614862591	3867125.204328694
house_410	703173.8307372618	3867132.9452341404
house_411	703167.4999882645	3867140.686139587
house_412	703161.1692392672	3867148.427045034
house_413	703155.43082169	3867156.599867647
house_414	703149.9960975777	3867164.994137944
house_415	703144.5613734655	3867173.388408242
house_416	703139.1266493533	3867181.782678539
house_417	703133.691925241	3867190.176948836
house_418	703128.2572011288	3867198.5712191337
house_419	703122.8224770165	3867206.965489431
house_420	695112.7534243214	3866259.8947014427
house_421	695117.5058702352	3866268.6932386984
house_422	695122.2583161489	3866277.491775954
house_423	695127.0107620626	3866286.2903132094
house_424	695131.7632079764	3866295.088850465
house_425	695136.51565389	3866303.8873877204
house_426	695141.2680998037	3866312.685924976
house_427	695146.0205457174	3866321.484462232
house_428	695150.7729916312	3866330.282999487
house_429	695155.5254375449	3866339.081536743
house_430	695160.2778834586	3866347.880073998
house_431	695165.0303293723	3866356.678611254
house_432	695169.782775286	3866365.4771485096
house_433	695174.5352211997	3866374.275685765
house_434	695179.2876671135	3866383.0742230206
house_435	695115.162509414	3866256.9448557594
house_436	695124.733125513	3866259.843701648
house_437	695065.5926647469	3866243.369751861
house_438	695075.2451168473	3866245.983210957
house_439	695084.8975689479	3866248.5966700534
house_440	695094.5500210483	3866251.2101291497
house_441	695104.2024731488	3866253.823588246
house_442	695018.2902655392	3866084.5498266006
house_443	695022.9682399415	3866093.388183659
house_444	695027.6462143438	3866102.2265407173
house_445	695032.3241887462	3866111.0648977757
house_446	695037.0021631485	3866119.903254834
house_447	695041.6801375508	3866128.7416118924
house_448	695046.3581119531	3866137.5799689507
house_449	695051.0360863555	3866146.418326009
house_450	695055.7140607578	3866155.2566830674
house_451	695060.3920351601	3866164.095040126
house_452	695065.0700095624	3866172.933397184
house_453	695069.7479839647	3866181.7717542425
house_454	695074.4259583671	3866190.610111301
house_455	695079.1039327694	3866199.448468359
house_456	695083.7819071717	3866208.2868254175
house_457	695088.459881574	3866217.125182476
house_458	695093.1378559764	3866225.9635395342
house_459	695097.8158303787	3866234.8018965926
house_460	695102.8263991367	3866243.4483469035
house_461	695910.5178624218	3867766.727583783
house_462	695915.1896984736	3867775.569187026
house_463	695919.8615345253	3867784.4107902693
house_464	695924.533370577	3867793.252393512
house_465	695929.2052066288	3867802.093996755
house_466	695933.8770426805	3867810.935599998
house_467	695938.5488787323	3867819.777203241
house_468	695943.2207147841	3867828.6188064837
house_469	695947.8925508359	3867837.460409727
house_470	695952.5643868876	3867846.3020129697
house_471	695957.2362229393	3867855.1436162125
house_472	695963.2153597411	3867865.4707735726
house_473	695968.6838994458	3867873.843053638
house_474	695974.1524391505	3867882.215333704
house_475	695979.6209788552	3867890.5876137693
house_476	695985.0895185599	3867898.9598938352
house_477	695990.5580582645	3867907.3321739007
house_478	695996.0265979692	3867915.7044539666
house_479	696001.4951376739	3867924.076734032
house_480	696006.9636773786	3867932.449014098
house_481	696012.4322170833	3867940.8212941634
house_482	696017.9007567881	3867949.1935742293
house_483	696023.3692964928	3867957.5658542947
house_484	696028.8378361975	3867965.9381343606
house_485	696034.3063759021	3867974.3104144265
house_486	696039.7749156068	3867982.682694492
house_487	696045.2434553115	3867991.054974558
house_488	696050.7119950162	3867999.4272546233
house_489	696056.1805347209	3868007.799534689
house_490	696061.6490744256	3868016.1718147546
house_491	696067.1176141303	3868024.5440948205
house_492	696072.586153835	3868032.916374886
house_493	696078.0546935397	3868041.288654952
house_494	696083.5232332444	3868049.6609350173
house_495	696088.9917729491	3868058.033215083
house_496	696094.4603126538	3868066.4054951486
house_497	696099.9288523585	3868074.7777752145
house_498	696105.3973920632	3868083.15005528
house_499	696110.8659317679	3868091.522335346
house_500	696116.3344714725	3868099.8946154113
house_501	696121.8030111772	3868108.266895477
house_502	696127.2715508819	3868116.6391755426
house_503	696132.7400905867	3868125.0114556085
house_504	696138.2086302914	3868133.383735674
house_505	696143.6771699961	3868141.75601574
house_506	696149.1457097008	3868150.1282958053
house_507	696154.6142494055	3868158.500575871
house_508	696160.0827891101	3868166.872855937
house_509	696165.5513288148	3868175.2451360025
house_510	696171.0198685195	3868183.6174160684
house_511	696176.4884082242	3868191.989696134
house_512	698770.7252719095	3864998.0264684404
house_513	698765.0848524142	3864989.8419276667
house_514	698757.1159092755	3864983.8007402625
house_515	698749.1469661366	3864977.759552859
house_516	698741.1780229979	3864971.7183654546
house_517	698733.2090798591	3864965.6771780504
house_518	698725.2401367204	3864959.6359906467
house_519	698717.2711935815	3864953.5948032425
house_520	698709.3022504428	3864947.5536158383
house_521	698702.2241592164	3864940.526792124
house_522	698695.4107214366	3864933.207156503
house_523	698688.5972836567	3864925.8875208823
house_524	698681.7838458768	3864918.5678852615
house_525	698674.9704080969	3864911.248249641
house_526	698668.156970317	3864903.9286140203
house_527	698661.3435325372	3864896.6089783995
house_528	698654.7928349284	3864889.094997056
house_529	698649.7881456683	3864880.437452057
house_530	698644.7834564084	3864871.7799070575
house_531	698641.9695542898	3864862.186849654
house_532	698639.1769644287	3864852.584691466
house_533	698637.3830539236	3864842.750122188
house_534	698635.6491113885	3864832.901597259
house_535	698633.9151688535	3864823.0530723296
house_536	698632.1812263185	3864813.2045474
house_537	698628.5792377923	3864803.9199046856
house_538	698624.1837826208	3864794.9630394084
house_539	698618.8782523244	3864786.486521947
house_540	698613.572722028	3864778.0100044855
house_541	698608.2671917317	3864769.5334870243
house_542	698602.9616614353	3864761.056969563
house_543	698597.6561311389	3864752.5804521013
house_544	698592.3506008425	3864744.10393464
house_545	698587.0450705461	3864735.6274171784
house_546	698581.7395402498	3864727.150899717
house_547	698576.4340099534	3864718.6743822554
house_548	698571.128479657	3864710.197864794
house_549	698565.8229493606	3864701.721347333
house_550	698560.5174190642	3864693.244829871
house_551	698555.2118887678	3864684.76831241
house_552	698549.9063584715	3864676.2917949483
house_553	698544.6008281751	3864667.815277487
house_554	698537.8791796451	3864660.5497206016
house_555	698530.3290564229	3864653.992614584
house_556	698520.6773956852	3864647.402613612
house_557	698511.6344547849	3864643.133513019
house_558	698502.5915138847	3864638.8644124256
house_559	698493.5485729845	3864634.5953118326
house_560	698484.2889952799	3864630.8706475124
house_561	698474.7851735081	3864627.7598000825
house_562	698465.1801227889	3864624.9797778586
house_563	698455.5628281799	3864622.239769756
house_564	698445.6576547335	3864621.068284164
house_565	698435.6941659852	3864620.2145324666
house_566	698527.1746197109	3864654.1302454243
house_567	698527.2492432718	3864644.976905846
house_568	698531.3499975445	3864635.8563897205
house_569	698535.4507518174	3864626.735873595
house_570	698539.5515060902	3864617.61535747
house_571	698543.6522603631	3864608.494841344
house_572	698547.7530146359	3864599.3743252186
house_573	698551.8537689088	3864590.2538090935
house_574	698555.9545231815	3864581.133292968
house_575	698560.0552774544	3864572.012776843
house_576	698564.1560317272	3864562.892260717
house_577	698568.2567860001	3864553.7717445916
house_578	698572.3575402729	3864544.6512284665
house_579	698576.4582945458	3864535.530712341
house_580	698580.2509410632	3864526.293759879
house_581	698583.2070829606	3864516.740685762
house_582	698586.163224858	3864507.187611645
house_583	698589.1193667555	3864497.6345375283
house_584	698592.0755086528	3864488.0814634115
house_585	698595.0316505503	3864478.5283892946
house_586	698597.9877924477	3864468.975315178
house_587	698600.9439343452	3864459.422241061
house_588	698603.9000762425	3864449.869166944
house_589	698606.85621814	3864440.3160928274
house_590	698609.8123600374	3864430.7630187105
house_591	698612.7685019348	3864421.2099445933
house_592	698615.7246438322	3864411.6568704764
house_593	698619.0153376721	3864402.21533034
house_594	698622.3831129377	3864392.799487852
house_595	698625.7508882034	3864383.383645364
house_596	698629.118663469	3864373.9678028757
house_597	698632.4864387347	3864364.5519603877
house_598	698635.8542140003	3864355.1361179
house_599	698639.2219892659	3864345.7202754114
house_600	698642.5897645316	3864336.3044329234
house_601	698645.9575397972	3864326.8885904355
house_602	698649.3253150628	3864317.4727479476
house_603	698652.6930903285	3864308.056905459
house_604	698656.0608655941	3864298.641062971
house_605	698659.4286408598	3864289.2252204833
house_606	698662.7964161254	3864279.8093779953
house_607	698666.164191391	3864270.393535507
house_608	698669.2850911957	3864260.902275633
house_609	698671.7540423542	3864251.2118535484
house_610	698674.2229935125	3864241.521431464
house_611	698676.6919446709	3864231.8310093796
house_612	698678.8868806395	3864222.0881986674
house_613	698680.166792389	3864212.1704455996
house_614	698681.4467041384	3864202.252692532
house_615	698682.7266158878	3864192.334939464
house_616	698684.0065276374	3864182.417186396
house_617	698685.2864393868	3864172.4994333284
house_618	698686.5663511362	3864162.5816802606
house_619	698687.8462628857	3864152.663927193
house_620	698689.1261746351	3864142.746174125
house_621	698690.4060863846	3864132.828421057
house_622	698691.6859981341	3864122.9106679894
house_623	698692.9659098835	3864112.9929149216
house_624	698693.3303436157	3864103.000484271
house_625	698693.6746836512	3864093.006414532
house_626	698694.0190236866	3864083.0123447934
house_627	698694.3633637221	3864073.018275055
house_628	698694.7077037574	3864063.0242053163
house_629	698695.0520437929	3864053.030135578
house_630	698695.3963838284	3864043.036065839
house_631	698695.7407238638	3864033.0419961005
house_632	698696.0850638993	3864023.047926362
house_633	698696.4294039347	3864013.0538566234
house_634	698696.7737439702	3864003.059786885
house_635	698697.1180840057	3863993.0657171463
house_636	698697.462424041	3863983.0716474075
house_637	698697.8067640765	3863973.077577669
house_638	698698.1511041119	3863963.0835079304
house_639	698698.4954441474	3863953.089438192
house_640	698523.2862413788	3864654.1568897166
house_641	698519.4609918655	3864663.3963413322
house_642	698515.6357423522	3864672.6357929483
house_643	698512.1572909534	3864682.007087323
house_644	698508.8784198535	3864691.454256439
house_645	698505.5995487537	3864700.9014255553
house_646	698502.3206776539	3864710.3485946716
house_647	698499.041806554	3864719.795763788
house_648	698495.7629354541	3864729.242932904
house_649	698492.4840643543	3864738.6901020203
house_650	698489.2051932544	3864748.1372711365
house_651	698485.9263221546	3864757.5844402527
house_652	698482.6474510547	3864767.031609369
house_653	698479.3685799548	3864776.478778485
house_654	698476.089708855	3864785.9259476014
house_655	698472.8108377551	3864795.3731167177
house_656	698469.5319666553	3864804.820285834
house_657	698466.2530955555	3864814.26745495
house_658	698462.9742244555	3864823.7146240664
house_659	698459.6953533557	3864833.1617931826
house_660	698456.4164822559	3864842.608962299
house_661	698453.137611156	3864852.056131415
house_662	698449.8587400562	3864861.5033005313
house_663	698446.5798689564	3864870.9504696475
house_664	698443.3009978564	3864880.3976387638
house_665	698440.0221267566	3864889.84480788
house_666	698436.7432556567	3864899.291976996
house_667	698433.4643845569	3864908.7391461125
house_668	698430.185513457	3864918.1863152287
house_669	698426.9066423571	3864927.633484345
house_670	698423.6277712573	3864937.080653461
house_671	698420.3489001575	3864946.5278225774
house_672	698417.0700290576	3864955.9749916936
house_673	698413.7911579577	3864965.42216081
house_674	698410.5122868579	3864974.869329926
house_675	698407.233415758	3864984.3164990423
house_676	698403.4401912815	3864993.5621242565
house_677	698399.4280948591	3865002.7219868265
house_678	698395.4159984367	3865011.8818493965
house_679	698391.0176310849	3865020.8583126334
house_680	698386.455594722	3865029.7570667164
house_681	698381.8935583591	3865038.655820799
house_682	698377.3315219962	3865047.5545748817
house_683	698372.7694856334	3865056.4533289643
